新款	新款，读音xīn kuǎn，汉语词语，指新的款式。
韩版	该词条最初来源于服装。由于服装的版型有很多种叫法，有款式版，如修身版；有产地版，如欧版，韩版；还有原厂版，仿版等等。慢慢的，无论是韩国产的，或者韩国设计，甚至有在韩国销售的都被叫韩版服装。由于服装行业的普及性，大家开始把“韩版”扩充到其他各个地方，韩国电视剧，韩国电影，韩国着装，韩国发型，总的来说就是一切朝鲜民族传统文化与当代韩国社会文化风格结合的产物，我们身边还有很多很韩的人，谈吐或者表情。呵呵，听到看到的时候，千万不要惊讶，一个词打发吧——“韩版”~
男士	拼音：nán shì基本解释[man] 对13-29岁的青年男的尊称。有人认为18-65岁。多用于白领阶层。在英文中，对男士称呼为mister(Mr.)先生，也可以称呼sir，但是sir可以单独使用。女士就被称为小姐。
外套	外套，又称为大衣，是穿在最外的服装。外套的体积一般比较大，长衣袖，在穿着时可覆盖上身的其他衣服。外套前端有钮扣或者拉链以便穿着。外套一般用作保暖或抵挡雨水的用途。
休闲	休闲是指在非劳动及非工作时间内以各种“玩”的方式求得身心的调节与放松，达到生命保健、体能恢复、身心愉悦的目的的一种业余生活。科学文明的休闲方式，可以有效地促进能量的储蓄和释放，它包括对智能、体能的调节和生理、心理机能的锻炼，休闲是一种心灵的体验。以时间观点区分，一天24小时，减去生理时间(吃喝拉撒睡)和工作时间，其馀剩下的时间称为闲暇，闲暇时间所从事的活动，可称之为休闲
加厚	增加厚度，指再事物原有的状态的情况下再使其增加一定的高度。
简约	简约是一个汉语词汇，读音为jiǎn yuē，是指简略；不详细；简省。反义词是繁复、烦琐。《后汉书·马援传》等均有相关记载。
家用	家用是汉语词汇，出自《管子·权修》，解释为家庭日常使用的。
秋冬	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
套装	套装，指经精心设计，有上下衣裤配套或衣裙配套，或外衣和衬衫配套。有二件套，也有加背心成三件套。通常由同色同料或造型格调一致的衣、裤、裙等相配而成。其式样变化主要在上衣，一般以上衣的款式命名或区分品种。凡配套服装过去大多用同色同料裁制。但近年来也有用不是同色同料裁制的。但套装之间造型风格要求基本一致，配色协调，给人的印象是整齐、和谐、统一。在职业场所多选用这种穿着方式。
儿童	国际《儿童权利公约》界定儿童是指18岁以下的任何人。1991年12月29日第七届全国人民代表大会常务委员会第23次会议批准了《儿童权利公约》，并与各人民团体、国际组织、新闻媒体以及个人共同努力，把本公约规定的义务从单纯意向角度上的宣言转变成为改善所有中国儿童的生活的具体行动方案。《儿童权利公约》于1992年4月1日开始在中国正式生效。《儿童权利公约》由联合国1989年11月20日大会通过。是有史以来最为广泛认可的国际公约。
修身	修身，是指修养身心，修身的具体行为表现日常生活中就是择善而从，博学于文，并约之以礼。修身并不是一蹴而就的事，并不是看了些圣贤书就成为甚至超越圣人了。至于那些无助于个人陶冶情操、慷慨意志的杂学，不但无益于修身，还会让人自高自大，自认为无所不知，夸夸其谈。也就是说一个人即便学了再多的学科，看了再多的书，却没有办法约束自己的言行以符合礼仪的规范，使自己的身心受益，帮助他人成就善道，那所学则无非是“水月道场，梦中佛事”。修身的本质是一个长期与自己的恶习和薄弱意志作斗争的过程，时时检束自己的身心言行，用诚心、仁爱、谦卑的情操来祛除掉思想中的杂质，对治那些令我们轻浮、骄傲、自大、邪僻的外因、内因。修身最切实的办法就是择善而交，通过善友相互勉励来增长德行，培养志趣，用最朴实无华的态度切磋关于仁爱的学问。一定要远避世俗的虚谈，那些好卖弄学问的、巧言乱德的、文过饰非的，还有诸如攀比、争竞、夸耀、淫词、妄语、
宝宝	宝宝是对小孩儿的亲昵称呼。是爸妈或家人对婴儿或幼儿的昵称。古时候，父母有了孩子之后都是如获珍宝。在父母眼里，孩子都是宝贝。
长袖	长袖是一个汉字词语，意思是长的衣袖。
复古	复古与怀旧，有时候很难区分。怀旧是一种心情，复古是一种元素，要复古是一种态度。也有人总把传统讲成复古，传承与复兴是有区别的。
创意	create new meanings 创意是创造意识或创新意识的简称，亦作“剙意”。它是指对现实存在事物的理解以及认知，所衍生出的一种新的抽象思维和行为潜能。汉王充 《论衡·超奇》：“ 孔子得史记以作《春秋》，及其立义创意，褒贬赏诛，不复因史记者，眇思自出於胸中也。” 宋 程大昌 《演繁露·纳粟拜爵》：“ 秦始皇四年，令民纳粟千石，拜爵一级，按此即 鼂错 之所祖效，非 错 剙意也。” 王国维 《人间词话》三三：“ 美成 深远之致不及 欧 秦 ，唯言情体物，穷极工巧，故不失为第一流之作者。但恨创调之才多，创意之才少耳。” 郭沫若 《鼎》：“文学家在自己的作品的创意和风格上，应该充分地表现出自己的个性。”创意是一种通过创新思维意识，从而进一步挖掘和激活资源组合方式进而提升资源价值的方法。
正品	正品，汉语词汇，读音zhèng pǐn，指某个品牌原创出产的产品，对应词汇是假货、次品。正品也有以合格品、一等品、优等品表示的。 与副品对称。
加绒	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
